run_date,store_id,sku_id,stock_on_hand,in_transit_qty,data_origin,snapshot_timestamp
2026-05-15,001,1,8,0,synthetic,2026-05-15
2026-05-15,001,10,5,0,synthetic,2026-05-15
2026-05-15,001,11,9,0,synthetic,2026-05-15
2026-05-15,001,12,4,0,synthetic,2026-05-15
2026-05-15,001,13,14,0,synthetic,2026-05-15
2026-05-15,001,14,17,0,synthetic,2026-05-15
2026-05-15,001,15,19,0,synthetic,2026-05-15
2026-05-15,001,16,13,0,synthetic,2026-05-15
2026-05-15,001,17,2,0,synthetic,2026-05-15
2026-05-15,001,18,28,0,synthetic,2026-05-15
2026-05-15,001,19,11,0,synthetic,2026-05-15
2026-05-15,001,2,19,0,synthetic,2026-05-15
2026-05-15,001,20,22,0,synthetic,2026-05-15
2026-05-15,001,21,6,0,synthetic,2026-05-15
2026-05-15,001,22,2,0,synthetic,2026-05-15
2026-05-15,001,23,14,0,synthetic,2026-05-15
2026-05-15,001,24,8,0,synthetic,2026-05-15
2026-05-15,001,25,23,0,synthetic,2026-05-15
2026-05-15,001,26,25,0,synthetic,2026-05-15
2026-05-15,001,27,7,0,synthetic,2026-05-15
2026-05-15,001,28,14,0,synthetic,2026-05-15
2026-05-15,001,29,20,0,synthetic,2026-05-15
2026-05-15,001,3,12,0,synthetic,2026-05-15
2026-05-15,001,30,8,0,synthetic,2026-05-15
2026-05-15,001,31,7,0,synthetic,2026-05-15
2026-05-15,001,32,10,0,synthetic,2026-05-15
2026-05-15,001,33,5,0,synthetic,2026-05-15
2026-05-15,001,34,8,0,synthetic,2026-05-15
2026-05-15,001,35,0,0,synthetic,2026-05-15
2026-05-15,001,36,1,0,synthetic,2026-05-15
2026-05-15,001,4,0,0,synthetic,2026-05-15
2026-05-15,001,5,0,0,synthetic,2026-05-15
2026-05-15,001,6,8,0,synthetic,2026-05-15
2026-05-15,001,7,7,0,synthetic,2026-05-15
2026-05-15,001,8,26,0,synthetic,2026-05-15
2026-05-15,001,9,2,0,synthetic,2026-05-15
2026-05-15,002,1,0,0,synthetic,2026-05-15
2026-05-15,002,10,4,0,synthetic,2026-05-15
2026-05-15,002,11,4,0,synthetic,2026-05-15
2026-05-15,002,12,28,0,synthetic,2026-05-15
2026-05-15,002,13,4,0,synthetic,2026-05-15
2026-05-15,002,14,38,0,synthetic,2026-05-15
2026-05-15,002,15,21,0,synthetic,2026-05-15
2026-05-15,002,16,6,0,synthetic,2026-05-15
2026-05-15,002,17,11,0,synthetic,2026-05-15
2026-05-15,002,18,10,0,synthetic,2026-05-15
2026-05-15,002,19,7,0,synthetic,2026-05-15
2026-05-15,002,2,8,0,synthetic,2026-05-15
2026-05-15,002,20,3,0,synthetic,2026-05-15
2026-05-15,002,21,0,0,synthetic,2026-05-15
2026-05-15,002,22,10,0,synthetic,2026-05-15
2026-05-15,002,23,29,0,synthetic,2026-05-15
2026-05-15,002,24,23,0,synthetic,2026-05-15
2026-05-15,002,25,0,0,synthetic,2026-05-15
2026-05-15,002,26,19,0,synthetic,2026-05-15
2026-05-15,002,27,11,0,synthetic,2026-05-15
2026-05-15,002,28,10,0,synthetic,2026-05-15
2026-05-15,002,29,19,0,synthetic,2026-05-15
2026-05-15,002,3,2,0,synthetic,2026-05-15
2026-05-15,002,30,0,0,synthetic,2026-05-15
2026-05-15,002,31,14,0,synthetic,2026-05-15
2026-05-15,002,32,11,0,synthetic,2026-05-15
2026-05-15,002,33,21,0,synthetic,2026-05-15
2026-05-15,002,34,26,0,synthetic,2026-05-15
2026-05-15,002,35,0,0,synthetic,2026-05-15
2026-05-15,002,36,4,0,synthetic,2026-05-15
2026-05-15,002,4,0,0,synthetic,2026-05-15
2026-05-15,002,5,7,0,synthetic,2026-05-15
2026-05-15,002,6,0,0,synthetic,2026-05-15
2026-05-15,002,7,6,0,synthetic,2026-05-15
2026-05-15,002,8,9,0,synthetic,2026-05-15
2026-05-15,002,9,33,0,synthetic,2026-05-15
2026-05-15,003,1,0,0,synthetic,2026-05-15
2026-05-15,003,10,0,0,synthetic,2026-05-15
2026-05-15,003,11,7,0,synthetic,2026-05-15
2026-05-15,003,12,0,0,synthetic,2026-05-15
2026-05-15,003,13,0,0,synthetic,2026-05-15
2026-05-15,003,14,1,0,synthetic,2026-05-15
2026-05-15,003,15,4,0,synthetic,2026-05-15
2026-05-15,003,16,4,0,synthetic,2026-05-15
2026-05-15,003,17,5,0,synthetic,2026-05-15
2026-05-15,003,18,25,0,synthetic,2026-05-15
2026-05-15,003,19,2,0,synthetic,2026-05-15
2026-05-15,003,2,7,0,synthetic,2026-05-15
2026-05-15,003,20,11,0,synthetic,2026-05-15
2026-05-15,003,21,0,0,synthetic,2026-05-15
2026-05-15,003,22,1,0,synthetic,2026-05-15
2026-05-15,003,23,11,0,synthetic,2026-05-15
2026-05-15,003,24,11,0,synthetic,2026-05-15
2026-05-15,003,25,2,0,synthetic,2026-05-15
2026-05-15,003,26,5,0,synthetic,2026-05-15
2026-05-15,003,27,8,0,synthetic,2026-05-15
2026-05-15,003,28,16,0,synthetic,2026-05-15
2026-05-15,003,29,24,0,synthetic,2026-05-15
2026-05-15,003,3,6,0,synthetic,2026-05-15
2026-05-15,003,30,0,0,synthetic,2026-05-15
2026-05-15,003,31,14,0,synthetic,2026-05-15
2026-05-15,003,32,5,0,synthetic,2026-05-15
2026-05-15,003,33,7,0,synthetic,2026-05-15
2026-05-15,003,34,22,0,synthetic,2026-05-15
2026-05-15,003,35,8,0,synthetic,2026-05-15
2026-05-15,003,36,13,0,synthetic,2026-05-15
2026-05-15,003,4,32,0,synthetic,2026-05-15
2026-05-15,003,5,3,0,synthetic,2026-05-15
2026-05-15,003,6,6,0,synthetic,2026-05-15
2026-05-15,003,7,8,0,synthetic,2026-05-15
2026-05-15,003,8,0,0,synthetic,2026-05-15
2026-05-15,003,9,6,0,synthetic,2026-05-15
2026-05-15,004,1,0,0,synthetic,2026-05-15
2026-05-15,004,10,0,0,synthetic,2026-05-15
2026-05-15,004,11,21,0,synthetic,2026-05-15
2026-05-15,004,12,18,0,synthetic,2026-05-15
2026-05-15,004,13,23,0,synthetic,2026-05-15
2026-05-15,004,14,13,0,synthetic,2026-05-15
2026-05-15,004,15,10,0,synthetic,2026-05-15
2026-05-15,004,16,5,0,synthetic,2026-05-15
2026-05-15,004,17,14,0,synthetic,2026-05-15
2026-05-15,004,18,1,0,synthetic,2026-05-15
2026-05-15,004,19,28,0,synthetic,2026-05-15
2026-05-15,004,2,11,0,synthetic,2026-05-15
2026-05-15,004,20,1,0,synthetic,2026-05-15
2026-05-15,004,21,1,0,synthetic,2026-05-15
2026-05-15,004,22,23,0,synthetic,2026-05-15
2026-05-15,004,23,1,0,synthetic,2026-05-15
2026-05-15,004,24,24,0,synthetic,2026-05-15
2026-05-15,004,25,22,0,synthetic,2026-05-15
2026-05-15,004,26,5,0,synthetic,2026-05-15
2026-05-15,004,27,15,0,synthetic,2026-05-15
2026-05-15,004,28,7,0,synthetic,2026-05-15
2026-05-15,004,29,13,0,synthetic,2026-05-15
2026-05-15,004,3,11,0,synthetic,2026-05-15
2026-05-15,004,30,0,0,synthetic,2026-05-15
2026-05-15,004,31,0,0,synthetic,2026-05-15
2026-05-15,004,32,0,0,synthetic,2026-05-15
2026-05-15,004,33,23,0,synthetic,2026-05-15
2026-05-15,004,34,5,0,synthetic,2026-05-15
2026-05-15,004,35,27,0,synthetic,2026-05-15
2026-05-15,004,36,31,0,synthetic,2026-05-15
2026-05-15,004,4,17,0,synthetic,2026-05-15
2026-05-15,004,5,4,0,synthetic,2026-05-15
2026-05-15,004,6,22,0,synthetic,2026-05-15
2026-05-15,004,7,2,0,synthetic,2026-05-15
2026-05-15,004,8,17,0,synthetic,2026-05-15
2026-05-15,004,9,23,0,synthetic,2026-05-15
2026-05-15,005,1,17,0,synthetic,2026-05-15
2026-05-15,005,10,15,0,synthetic,2026-05-15
2026-05-15,005,11,26,0,synthetic,2026-05-15
2026-05-15,005,12,5,0,synthetic,2026-05-15
2026-05-15,005,13,8,0,synthetic,2026-05-15
2026-05-15,005,14,10,0,synthetic,2026-05-15
2026-05-15,005,15,9,0,synthetic,2026-05-15
2026-05-15,005,16,0,0,synthetic,2026-05-15
2026-05-15,005,17,12,0,synthetic,2026-05-15
2026-05-15,005,18,0,0,synthetic,2026-05-15
2026-05-15,005,19,5,0,synthetic,2026-05-15
2026-05-15,005,2,19,0,synthetic,2026-05-15
2026-05-15,005,20,0,0,synthetic,2026-05-15
2026-05-15,005,21,0,0,synthetic,2026-05-15
2026-05-15,005,22,11,0,synthetic,2026-05-15
2026-05-15,005,23,30,0,synthetic,2026-05-15
2026-05-15,005,24,13,0,synthetic,2026-05-15
2026-05-15,005,25,0,0,synthetic,2026-05-15
2026-05-15,005,26,0,0,synthetic,2026-05-15
2026-05-15,005,27,9,0,synthetic,2026-05-15
2026-05-15,005,28,13,0,synthetic,2026-05-15
2026-05-15,005,29,0,0,synthetic,2026-05-15
2026-05-15,005,3,5,0,synthetic,2026-05-15
2026-05-15,005,30,11,0,synthetic,2026-05-15
2026-05-15,005,31,0,0,synthetic,2026-05-15
2026-05-15,005,32,9,0,synthetic,2026-05-15
2026-05-15,005,33,5,0,synthetic,2026-05-15
2026-05-15,005,34,7,0,synthetic,2026-05-15
2026-05-15,005,35,4,0,synthetic,2026-05-15
2026-05-15,005,36,1,0,synthetic,2026-05-15
2026-05-15,005,4,5,0,synthetic,2026-05-15
2026-05-15,005,5,23,0,synthetic,2026-05-15
2026-05-15,005,6,6,0,synthetic,2026-05-15
2026-05-15,005,7,6,0,synthetic,2026-05-15
2026-05-15,005,8,16,0,synthetic,2026-05-15
2026-05-15,005,9,6,0,synthetic,2026-05-15
2026-05-15,006,1,4,0,synthetic,2026-05-15
2026-05-15,006,10,10,0,synthetic,2026-05-15
2026-05-15,006,11,1,0,synthetic,2026-05-15
2026-05-15,006,12,0,0,synthetic,2026-05-15
2026-05-15,006,13,5,0,synthetic,2026-05-15
2026-05-15,006,14,27,0,synthetic,2026-05-15
2026-05-15,006,15,0,0,synthetic,2026-05-15
2026-05-15,006,16,22,0,synthetic,2026-05-15
2026-05-15,006,17,22,0,synthetic,2026-05-15
2026-05-15,006,18,23,0,synthetic,2026-05-15
2026-05-15,006,19,6,0,synthetic,2026-05-15
2026-05-15,006,2,6,0,synthetic,2026-05-15
2026-05-15,006,20,0,0,synthetic,2026-05-15
2026-05-15,006,21,12,0,synthetic,2026-05-15
2026-05-15,006,22,6,0,synthetic,2026-05-15
2026-05-15,006,23,25,0,synthetic,2026-05-15
2026-05-15,006,24,0,0,synthetic,2026-05-15
2026-05-15,006,25,0,0,synthetic,2026-05-15
2026-05-15,006,26,0,0,synthetic,2026-05-15
2026-05-15,006,27,8,0,synthetic,2026-05-15
2026-05-15,006,28,0,0,synthetic,2026-05-15
2026-05-15,006,29,8,0,synthetic,2026-05-15
2026-05-15,006,3,0,0,synthetic,2026-05-15
2026-05-15,006,30,6,0,synthetic,2026-05-15
2026-05-15,006,31,4,0,synthetic,2026-05-15
2026-05-15,006,32,14,0,synthetic,2026-05-15
2026-05-15,006,33,6,0,synthetic,2026-05-15
2026-05-15,006,34,7,0,synthetic,2026-05-15
2026-05-15,006,35,3,0,synthetic,2026-05-15
2026-05-15,006,36,4,0,synthetic,2026-05-15
2026-05-15,006,4,7,0,synthetic,2026-05-15
2026-05-15,006,5,5,0,synthetic,2026-05-15
2026-05-15,006,6,20,0,synthetic,2026-05-15
2026-05-15,006,7,1,0,synthetic,2026-05-15
2026-05-15,006,8,35,0,synthetic,2026-05-15
2026-05-15,006,9,19,0,synthetic,2026-05-15
2026-05-15,007,1,7,0,synthetic,2026-05-15
2026-05-15,007,10,0,0,synthetic,2026-05-15
2026-05-15,007,11,4,0,synthetic,2026-05-15
2026-05-15,007,12,10,0,synthetic,2026-05-15
2026-05-15,007,13,0,0,synthetic,2026-05-15
2026-05-15,007,14,8,0,synthetic,2026-05-15
2026-05-15,007,15,0,0,synthetic,2026-05-15
2026-05-15,007,16,27,0,synthetic,2026-05-15
